LEAL,0000,0000
ALT.D,0000,0000
ALT.A,0000,0000
LEAM,0000,0000
AMR.D,0000,0000
AMR.A,0000,0000
LEBL,0000,0000
BCN.D,0000,0000
BCN.A,0000,0000
LEGE,0000,0000
GIR.D,0000,0000
GIR.A,0000,0000
LEGR,0000,0000
GDA.D,0000,0000
GDA.A,0000,0000
LEIB,0000,0000
IZA.D,0000,0000
IZA.A,0000,0000
LEJR,0000,0000
JRZ.D,0000,0000
JRZ.A,0000,0000
LELC,0000,0000
VSJ.D,0000,0000
VSJ.A,0000,0000
LELL,0000,0000
SLL.D,0000,0000
SLL.A,0000,0000
LEMD,0000,0000
MAD.D,0000,0000
MAD.A,0000,0000
LEMG,0000,0000
MLG.D,0000,0000
MLG.A,0000,0000
LEMH,0000,0000
MHN.D,0000,0000
MHN.A,0000,0000
LEPA,0000,0000
PAL.D,0000,0000
PAL.A,0000,0000
LEPP,0000,0000
PPN.D,0000,0000
PPN.A,0000,0000
LERS,0000,0000
RES.D,0000,0000
RES.A,0000,0000
LERT,0000,0000
AOG.D,0000,0000
AOG.A,0000,0000
LESO,0000,0000
LES.D,0000,0000
LES.A,0000,0000
LETO,0000,0000
TOL.D,0000,0000
TOL.A,0000,0000
LEVC,0000,0000
VLC.D,0000,0000
VLC.A,0000,0000
LEVT,0000,0000
LEV.D,0000,0000
LEV.A,0000,0000
LEVX,0000,0000
VGO_VON,0000,0000
VGO_VON,0000,0000
LEXJ,0000,0000
LEX.D,0000,0000
LEX.A,0000,0000
LEZG,0000,0000
ZAR.D,0000,0000
ZAR.A,0000,0000
LEZL,0000,0000
SVL.D,0000,0000
SVL.A,0000,0000
LFBP,0000,0000
FBP.D,0000,0000
FBP.A,0000,0000
LFBT,0000,0000
TBO.D,0000,0000
TBO.A,0000,0000
LFDJ,0000,0000
PMR.D,0000,0000
PMR.A,0000,0000
LFMU,0000,0000
BZR.D,0000,0000
BZR.A,0000,0000
LPFR,0000,0000
FAR.D,0000,0000
FAR.A,0000,0000
